Service Tag,System Type,Ship Date,Dell IBU,Description,Provider,Warrenty Extension Notice *,Start Date,End Date,Days Left,,,,,,,,,,,,,,,,,,
DLOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
279kyb1,optiplex gx620,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2010,0,,,,,,,,,,,,,,,,,,
55fkyb1,dimension c521,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
DEEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
dk3kyb1,latitude d620,10/16/2006,americas,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,
46jkyb1,dimension e521,10/16/2006,americas,dell,10/16/2006,10/16/2007,0,next business day support,bsc,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
BI5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
772kyb1,optiplex gx620,10/14/2006,canada,next business day support,uny,no,10/14/2007,10/13/2011,268,,,,,,,,,,,,,,,,,,
IHEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
MHCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LDHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
M4BKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8npkyb1,latitude d620,10/16/2006,americas,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,,,,,,,
43pkyb1,inspiron 6400/e1505,10/16/2006,americas,dell,10/16/2006,10/16/2007,0,rapid response depot,sol,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
FAIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KG4KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0F8KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E81KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
75fkyb1,optiplex gx620,10/15/2006,canada,next business day support,uny,no,10/15/2007,10/14/2011,269,,,,,,,,,,,,,,,,,,
gdfkyb1,dimension 5150/e510,10/14/2006,americas,next business day support,dell,no,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,,,,
8c2kyb1,dimension e520,10/14/2006,americas,qlx,10/14/2007,10/13/2009,0,limited technical support,dell,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,
HAFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7AGKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9h1kyb1,poweredge 2950,10/14/2006,americas,bronze software support,dell,no,10/14/2006,10/13/2009,0,next business day parts delivery,dell,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
3ONKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
g0jkyb1,latitude d620,10/15/2006,americas,next business day support,qlx,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
cnlkyb1,inspiron 6400/e1505,11/1/2006,americas,limited technical support,dell,no,11/1/2006,11/1/2007,0,rapid response depot,sol,no,11/1/2006,11/1/2007,0,,,,,,,,,,,,
86IKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
P1KKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KCDKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9M5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8dgkyb1,dimension c521,10/18/2006,americas,dell,10/18/2006,10/18/2007,0,next business day support,bsc,10/18/2006,10/18/2007,0,,,,,,,,,,,,,,,
6mpkyb1,dell precision workstation 390,10/14/2006,americas,4 hour on-site service,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
dkgkyb1,optiplex gx620,10/16/2006,americas,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,qlx,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
BEOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
h60kyb1,latitude d520,10/15/2006,americas,complete care,dell,no,10/15/2006,10/14/2009,0,client gold support / prosupport,dell,no,10/15/2006,10/14/2009,0,next business day support,qlx,no,10/15/2007,10/14/2009,0,,,,,,
880kyb1,dell precision workstation 380,10/15/2006,americas,client gold support / prosupport,dell,no,10/15/2006,10/14/2009,0,4 hour on-site service,qlx,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,
79pkyb1,latitude d620,10/18/2006,canada,complete care,dell,no,10/18/2006,10/17/2009,0,next business day support,uny,no,10/18/2007,10/17/2009,0,,,,,,,,,,,,
67mkyb1,optiplex 745,11/18/2006,americas,next business day support,bsc,no,11/18/2007,11/17/2009,0,,,,,,,,,,,,,,,,,,
60dkyb1,inspiron 640m / e1405,10/16/2006,americas,limited technical support,dell,no,10/16/2006,10/16/2007,0,rapid response depot,sol,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,
M0OKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0JHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
07NKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1jmkyb1,inspiron 6400/e1505,10/16/2006,americas,sol,10/16/2006,10/16/2007,0,limited technical support,dell,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
J5OKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6hdkyb1,dimension c521,10/19/2006,americas,dell,10/19/2006,10/19/2007,0,next business day support,bsc,10/19/2006,10/19/2007,0,,,,,,,,,,,,,,,
c9ckyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/14/2009,0,,,,,,,,,,,,,,,,,,
K55KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
M2FKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6l0kyb1,latitude d520,10/18/2006,americas,rapid response depot,sol,no,10/18/2006,10/18/2007,0,,,,,,,,,,,,,,,,,,
EK2KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f0lkyb1,latitude d520,10/15/2006,americas,rapid response depot,sol,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,,,,
JAJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
06PKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
3mhkyb1,inspiron 9400/e1705,10/16/2006,americas,dell,10/16/2006,10/16/2007,0,rapid response depot,sol,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
j80kyb1,poweredge 2950,10/14/2006,americas,next business day support,uny,no,1/26/2010,12/21/2012,703,,,,,,,,,,,,,,,,,,
M71KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
gj9kyb1,dimension e521,10/14/2006,americas,bsc,10/14/2007,10/13/2008,0,limited technical support,dell,10/14/2007,10/13/2008,0,,,,,,,,,,,,,,,
3A0KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EFEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9c3kyb1,optiplex gx520,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
M1PKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
h1dkyb1,inspiron 6400/e1505,10/16/2006,americas,dell,10/16/2006,10/16/2007,0,rapid response depot,sol,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
NABKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EBCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
K83KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7fmkyb1,optiplex 745,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2010,0,,,,,,,,,,,,,,,,,,
N87KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
600kyb1,dimension 1100/b110,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
5O9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
61lkyb1,dimension e520,10/14/2006,americas,client gold support / prosupport,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,limited technical support,dell,no,10/14/2007,10/13/2009,0,,,,,,
JO6KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
NG3KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
BIJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E1MKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
FECKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7dlkyb1,inspiron 6400/e1505,10/16/2006,americas,bsc,10/16/2007,10/15/2008,0,limited technical support,dell,10/16/2007,10/15/2008,0,,,,,,,,,,,,,,,
hbkkyb1,inspiron 6400/e1505,10/15/2006,americas,dell,10/15/2006,10/15/2007,0,rapid response depot,sol,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
5cjkyb1,latitude d520,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
IEFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
98bkyb1,inspiron 640m / e1405,10/16/2006,americas,dell,10/16/2007,10/15/2010,0,"next business day, includes nights/weekends",qlx,10/16/2007,10/15/2010,0,,,,,,,,,,,,,,,
6kckyb1,optiplex gx520,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
A5JKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LF5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
69mkyb1,optiplex 745,10/15/2006,americas,next business day support,qlx,no,10/15/2007,10/14/2011,269,,,,,,,,,,,,,,,,,,
jpjkyb1,inspiron 1300/b130,10/15/2006,canada,limited technical support,dell,no,10/15/2006,10/15/2007,0,rapid response depot,sol,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
jjnkyb1,inspiron 6400/e1505,10/16/2006,americas,dell,10/16/2006,10/16/2007,0,rapid response depot,sol,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
7j9kyb1,optiplex gx620,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
BMIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
K36KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9jgkyb1,dimension e520,10/14/2006,canada,next business day support,wang,no,10/14/2007,10/13/2009,0,limited technical support,dell,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
3p4kyb1,xps/dimension 410/9200,10/17/2006,latin america,uny,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,,,,,,
874kyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/14/2009,0,,,,,,,,,,,,,,,,,,
c26kyb1,inspiron 640m / e1405,10/15/2006,americas,limited technical support,dell,no,10/15/2006,10/15/2007,0,rapid response depot,sol,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
MGBKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ONJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
AP9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
II3KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
BOJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
36OKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6OHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
22nkyb1,inspiron 6400/e1505,10/31/2006,latin america,next business day support,uny,no,10/20/2006,10/20/2007,0,,,,,,,,,,,,,,,,,,
bn4kyb1,inspiron 6400/e1505,10/15/2006,americas,limited technical support,dell,no,10/15/2006,10/15/2007,0,rapid response depot,sol,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
O1CKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
hg8kyb1,inspiron 6400/e1505,10/15/2006,americas,dell,10/15/2006,10/15/2007,0,rapid response depot,sol,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
2m5kyb1,dimension e520,10/14/2006,americas,dell,10/14/2007,10/13/2008,0,next business day support,bsc,10/14/2007,10/13/2008,0,,,,,,,,,,,,,,,
g29kyb1,dimension e520,10/14/2006,americas,bsc,10/13/2008,10/13/2011,268,limited technical support,dell,10/13/2008,10/13/2011,268,,,,,,,,,,,,,,,
DCOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
L40KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
K2OKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8DPKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
jj5kyb1,inspiron 6400/e1505,10/15/2006,americas,limited technical support,dell,no,10/15/2006,10/15/2007,0,next business day support,qlx,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
4MAKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
hkdkyb1,optiplex 745,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2010,0,,,,,,,,,,,,,,,,,,
E54KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
b0nkyb1,latitude d820,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2009,0,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,
g7dkyb1,inspiron 1300/b130,10/16/2006,americas,limited technical support,dell,no,10/16/2006,10/16/2007,0,next business day support,qlx,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,
COHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
K7PKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
197kyb1,dimension c521,10/16/2006,americas,limited technical support,dell,no,10/16/2006,10/16/2007,0,next business day support,qlx,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,
g9bkyb1,dimension c521,10/14/2006,americas,limited technical support,dell,no,10/14/2006,10/14/2007,0,next business day support,qlx,no,10/14/2006,10/14/2007,0,,,,,,,,,,,,
0MKKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LF4KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
88lkyb1,dimension e520,10/16/2006,americas,dell,10/16/2006,10/15/2008,0,next business day support,bsc,10/16/2007,10/15/2008,0,limited technical support,dell,10/16/2007,10/15/2008,0,,,,,,,,,,
38EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
L4NKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7jhkyb1,inspiron 1300/b130,10/16/2006,americas,dell,10/16/2007,10/16/2009,0,rapid response depot,sol,10/16/2007,10/16/2009,0,,,,,,,,,,,,,,,
PBIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1jkkyb1,latitude d520,10/15/2006,americas,complete care,dell,no,10/15/2006,10/14/2009,0,next business day support,qlx,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,
674kyb1,inspiron 6400/e1505,10/17/2006,americas,dell,10/17/2006,10/16/2010,0,"next business day, includes nights/weekends",qlx,10/17/2007,10/16/2010,0,limited technical support,dell,10/17/2007,10/16/2010,0,,,,,,,,,,
5gbkyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
IKHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8bjkyb1,dimension e521,10/17/2006,americas,bsc,10/17/2006,10/17/2007,0,limited technical support,dell,10/17/2006,10/17/2007,0,,,,,,,,,,,,,,,
5gdkyb1,dimension c521,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
LCHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
AKFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
43jkyb1,latitude d620,10/15/2006,americas,client gold support / prosupport,dell,no,10/15/2006,10/14/2009,0,complete care,dell,no,10/15/2006,10/14/2009,0,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,
3ngkyb1,latitude d620,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2010,0,next business day support,uny,no,10/16/2007,10/15/2010,0,,,,,,,,,,,,
7CEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
DOHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I9MKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KBFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ONKKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E27KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
FI7KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
62EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
3HAKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
j6lkyb1,optiplex gx520,10/14/2006,americas,next business day support,uny,no,1/12/2008,1/11/2010,0,,,,,,,,,,,,,,,,,,
j06kyb1,inspiron 6400/e1505,10/15/2006,americas,dell,10/15/2006,10/15/2007,0,rapid response depot,sol,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
4lgkyb1,latitude d620,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2010,0,next business day support,uny,no,10/16/2007,10/15/2010,0,,,,,,,,,,,,
MEJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
GEBKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8OBKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
cljkyb1,inspiron 6400/e1505,10/16/2006,americas,sol,10/16/2006,10/16/2007,0,limited technical support,dell,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
6c8kyb1,optiplex gx620,10/18/2006,americas,next business day support,uny,no,10/18/2007,10/17/2009,0,,,,,,,,,,,,,,,,,,
4flkyb1,dimension c521,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
HOJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
05HKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
3hlkyb1,latitude d620,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,dc1,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
j5hkyb1,latitude d620,10/17/2006,americas,client gold support / prosupport,dell,no,10/17/2006,10/16/2009,0,next business day support,uny,no,10/17/2007,10/16/2009,0,,,,,,,,,,,,
KGFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2OCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
20mkyb1,latitude d820,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2009,0,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,
9p3kyb1,dimension 1100/b110,10/14/2006,americas,limited technical support,dell,no,10/14/2006,10/14/2007,0,next business day support,qlx,no,10/14/2006,10/14/2007,0,,,,,,,,,,,,
d25kyb1,latitude d420,10/18/2006,americas,complete care,dell,no,10/18/2006,10/17/2009,0,client gold support / prosupport,dell,no,10/18/2006,10/17/2009,0,next business day support,uny,no,10/18/2007,10/17/2009,0,,,,,,
ILGKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
5mgkyb1,optiplex 210l,10/14/2006,americas,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
E3GKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
41AKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
OO9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
90bkyb1,optiplex gx620,10/16/2006,americas,keep your hard drive service,dell,no,10/16/2006,10/15/2009,0,next business day support,wang,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
jbjkyb1,inspiron 9400/e1705,10/16/2006,americas,qlx,10/15/2010,10/15/2011,270,limited technical support,dell,10/15/2010,10/15/2011,270,,,,,,,,,,,,,,,
7OFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
4OIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0NHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
P36KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
M5AKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
JMEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
4k6kyb1,inspiron 6400/e1505,10/15/2006,americas,dell,10/15/2006,10/15/2007,0,rapid response depot,sol,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
9fdkyb1,dimension c521,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
c12kyb1,latitude d620,10/15/2006,americas,complete care,dell,no,10/15/2006,10/14/2009,0,next business day support,qlx,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,
chdkyb1,inspiron 640m / e1405,10/15/2006,americas,dell,10/15/2006,10/15/2007,0,rapid response depot,sol,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
jb1kyb1,dimension c521,10/14/2006,americas,bsc,10/14/2007,10/13/2008,0,limited technical support,dell,10/14/2007,10/13/2008,0,,,,,,,,,,,,,,,
BFOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
j58kyb1,dimension c521,10/16/2006,americas,next business day support,qlx,no,10/16/2007,10/15/2009,0,limited technical support,dell,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
bbdkyb1,dimension c521,10/16/2006,americas,next business day support,qlx,no,10/16/2006,10/16/2007,0,limited technical support,dell,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,
8P9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ONIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
IOOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
h07kyb1,inspiron 6400/e1505,10/31/2006,latin america,next business day support,uny,no,10/17/2007,1/14/2009,0,,,,,,,,,,,,,,,,,,
j7gkyb1,dimension e521,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
11dkyb1,dimension e520,10/14/2006,americas,bsc,10/14/2006,10/14/2007,0,limited technical support,dell,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
914kyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/14/2009,0,,,,,,,,,,,,,,,,,,
KKCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
4h9kyb1,dimension e521,11/29/2006,americas,limited technical support,dell,no,11/29/2006,11/29/2007,0,next business day support,bsc,no,11/29/2006,11/29/2007,0,,,,,,,,,,,,
7j4kyb1,inspiron 6400/e1505,10/16/2006,americas,dell,8/21/2006,8/21/2007,0,rapid response depot,sol,8/21/2006,8/21/2007,0,,,,,,,,,,,,,,,
IEGKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
DICKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
gh0kyb1,latitude d820,10/16/2006,canada,next business day support,uny,no,10/16/2007,10/15/2010,0,,,,,,,,,,,,,,,,,,
jffkyb1,dimension c521,10/16/2006,americas,limited technical support,dell,no,10/16/2006,10/16/2007,0,next business day support,qlx,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,
P2KKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8AGKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E59KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2lbkyb1,optiplex gx620,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
3j6kyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,client gold support / prosupport,dell,no,10/14/2006,10/13/2009,0,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,
7IPKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9npkyb1,dell precision workstation 390,10/13/2006,americas,next business day support,qlx,no,10/13/2007,10/12/2009,0,,,,,,,,,,,,,,,,,,
IOIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0PFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
A21KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
414kyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
K71KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
bn0kyb1,optiplex gx620,10/14/2006,canada,next business day support,uny,no,10/14/2007,10/13/2011,268,,,,,,,,,,,,,,,,,,
9cjkyb1,dimension e521,10/18/2006,americas,next business day support,qlx,no,10/18/2006,10/18/2007,0,limited technical support,dell,no,10/18/2006,10/18/2007,0,,,,,,,,,,,,
d09kyb1,latitude d620,10/15/2006,americas,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
GA0KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E13KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1g1kyb1,dimension c521,10/14/2006,americas,limited technical support,dell,no,10/14/2006,10/14/2007,0,next business day support,qlx,no,10/14/2006,10/14/2007,0,,,,,,,,,,,,
I28KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
